"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Sarah Jessica Parker,Parker,8,Beagle
Dog,Princess Leah,Leah,8,Miniature schnauzer
Cat,Zeus,Zeus,2,Unknown
Dog,Mr Duke of Carol Stream,Booboo,10,Labrador retriever
Dog,Bruno Mars,Bruno,4,Shi Tzu mix
Cat,Persephone,Persey,2,Unknown
Dog,Reggie,Reg,8,Border collie
Cat,Momo,Momo,9,Domestic short hair
Dog,Twixie,Gooben,2,Heinz 57
Dog,Kody,Kode,10,Golden retriever
Dog,Maverick Clinton,Maverick,10,Labrador retriever
Cat,Abbey Road,Abbey,3,Domestic long hair
Cat,Naga,Naga,6,Domestic short hair
Dog,Sven,Bean,5,German shepherd
Dog,Lola,Lola,11,Poodle mix
Dog,Sophie,Sophie,2,Rottweiler
Cat,Stinky Pete,Pete and/or Stinky,18,Just a regular cat
Cat,Gozer,Gozey,12,Black cat
Dog,Lily Potter,Lil,2,German shepherd
Dog,Dougie McFly,Dougie,11,Cairn terrier
Dog,RileyRoo,Riley,2,Mutt
Dog,Dobby,Boober,4,Pembroke welsh corgi
Cat,Sir Edward Julius Robert Kittybutt III,Eddie,16,Tiger cat
Fish,Chu-chu,Chu-chu,Deceased,Ranchu
Dog,Lando,Lando,5,Bernese mountain dog
Dog,Tucker Paul,Tuck,6,Pit bull mix
Dog,Schnitzel Von Krumm,Ninnel,11,Miniature dachshund
Dog,Wrigley,Wriglry pigley,13,Beagle
Dog,Wally,Wal,0.3,Golden retriever
Dog,Snickers,Doodle,11,Beagle
Dog,Charlie,Charlie,9,Cockapoo
Dog,Pepper,Pep,0.8,Cocker spaniel
Dog,Brownie,Brownie,13,Beagle
Cat,Maow,Kitkat,14,Unknown
Dog,Echo,Beck,3,Chihuahua/yorkie mix
Dog,Banky,Banky,10,Basset hound
Dog,Koda,Koda,6,Chihuahua
Dog,Clifford,Cliff,6,Labrador Mix
Dog,Coco,Coco Bear,7,Morkie
Dog,Charlie,Charlie,8,Pit bull mix
Dog,Mojo,Moj,5,Chiweenie
Horse,Wizarding Wonder,Wizwo,12,Shire x TB
Dog,Hank,Hank,2,Boxer mix
Horse,Thunderhawk,Thunder,21,Spanish mustang
Dog,Sebastian,Fritz,15,Italian greyhound 
Horse,Cielo,Piglet,4,Unknown
Cat,Bebop Vincent,Beebs,5,Domestic short hair
Horse,Thalia,Thalia,4,Unknown
Horse,Morganna la Fey,Morganna,15,Unknown
Cat,Maja,Maja,14,Grey
Dog,Hank,Hanky,2,Labrador
Dog,Ella,Ells Bells,14.5,Cocker spaniel
Dog,Frappuccino,Frappie,7,Labradoodle
Horse,Texas Pony Smoke,Monster,2,Unknown
Dog,Gracie,Grace,12,Shi Tzu mix
Horse,Khan,Khan,3,Spanish mustang
Dog,Phoebe,Phoebe,2,Goldendoodle
Dog,Uma Strawn McGuire,Uma,4,Golden lab mix
Dog,Buster,Boop squared,13,Terrierist
Horse,Reno,Reno,Unknown,Unknown
Cat,Sketchy Missouri,Sketchy,12,Tortie cat
Dog,Eva Marie,Eva,3,Chihuahua
Horse,Boogieman,Boogie,5,Unknown
Dog,Mia Hamm,Mia,11,Golden retriever
Cat,Charlie,Charile,18,Tabby cat
Dog,alia atreides,Allie,5,Mutt
Horse,Legacy,Legacy,15,Unknown
Horse,Mambo no. 5,Mambo,2,Spanish mustang
Cat,Zoey,Zoe,4,Unknown
Dog,lexie,lex,0.8,Golden retriever
Horse,Mato Ma’hu’i,Mato,2,Unknown
Dog,Bernard,Bernard,5,Boxer
Horse,Starflower’s Jezebel,Jezebel,4,Spanish mustang
Cat,Jenna Nicole Rhea Lopez Horn,Jenna Jenna,8,Unknown
Dog,Myles - his roman name is Squirtacus Mylonius,Myles,10,Cockapoo
Horse,Diamond Lily,Lily,7,Unknown
Dog,Millie,Millie,9.5,Shepherd mix
Horse,Gypsy Rose Lee,Gypsy,6,Unknown
Fish,Butters,Butters,0,Goldfish
Dog,Bodhi,Bo,6,Golden retriever
Dog,Mooch,Mooch,9,Terrier mix
Dog,Piper,Pipes,4,Woodle (wheaton terrier/poodle)
Cat,Ramona,Ramona,12,Unknown
Dog,Charles,Charlie,10,Corgi
Horse,Morning Glory,Glory,Unknown,Unknown
Dog,Willow,Willow,3,Sheepadoodle
Horse,Morning Mist,misty,Unknown,Unknown
Dog,Glamis Schedule K1,Kona,5,Golden retriever
Dog,Bandit Raye,Bandi,12,Farm dog
Horse,Syndicated Copper,Copper,Unknown,Unknown
Cat,Cleo,Cleo,13,Orange tabby
